idtram,nombre,secretaria,dependencia,visitas_totales,year
6391,Tarjeta de INAPAM,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,10,2023
7685,Campaña de reforestación.,Mineral del Chico,Ayuntamiento de Mineral del Chico,10,2023
7978,Proyecto proyectivos.,Xochiatipan,Ayuntamiento de Xochiatipan,10,2023
7707,Constancia de Residencias,Mineral del Monte,Ayuntamiento de Mineral del Monte,10,2023
7710,Constancia de origen,Mineral del Monte,Ayuntamiento de Mineral del Monte,10,2023
2927,Premios a la juventud,Cardonal,Ayuntamiento de Cardonal,10,2023
3085,Credenciales del inapam,Alfajayucan,Ayuntamiento de Alfajayucan,10,2023
3556,Constancia De Alineamiento,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,10,2023
3577,Registro de reconocimiento de hijos,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,10,2023
4983,"Expedición de guías de tránsito para la movilización de ganado, productos y subproductos pecuarios.",Tepeapulco,Ayuntamiento de Tepeapulco,10,2023
5997,Auxilio y Apoyo en Situaciones de Desastres Naturales.,Xochiatipan,Ayuntamiento de Xochiatipan,10,2023
834,Volumen de captación de leche de calidad en centros de acopio registrado,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,10,2023
7300,Geo-Referenciación con GPS.,Zacualtipán,Ayuntamiento de Zacualtipán,10,2023
7923,concurso estatal de declamación,Secretaría de Bienestar e Inclusión Social,Instituto Hidalguense de la Juventud,10,2023
2930,Servicios de ambulancia,Cardonal,Ayuntamiento de Cardonal,10,2023
3386,Registro en el Catalogo de Prestadores de Servicios Turísticos,Mineral del Chico,Ayuntamiento de Mineral del Chico,10,2023
5931,Constancia de no Afectación a áreas verdes.,Xochiatipan,Ayuntamiento de Xochiatipan,10,2023
7113,Prevención del Delito.,Pacula,Ayuntamiento de Pacula,10,2023
7621,Degüello y faenado.,Zacualtipán,Ayuntamiento de Zacualtipán,10,2023
1973,RECONEXIÓN DEL SERVICIO DE AGUA POTABLE,Apan,Ayuntamiento de Apan,10,2023
2882,Permiso para baile particular,Cardonal,Ayuntamiento de Cardonal,10,2023
3503,Constancia de Radicación y Datos Generales,Chapulhuacán,Ayuntamiento de Chapulhuacán,10,2023
3512,Constancia de posesión,Chapulhuacán,Ayuntamiento de Chapulhuacán,10,2023
3375,Licencias de Funcionamiento,Mineral del Chico,Ayuntamiento de Mineral del Chico,10,2023
1281,Pago de Impuesto por la Prestación de Servicios de Hospedaje (con referencia para pago),Secretaría de Hacienda,Secretaría de Hacienda,10,2023
5306,Valoración en psicología,Actopan,Ayuntamiento de Actopan,10,2023
5831,Constancia de Radicación,La Misión,Ayuntamiento de La Misión,10,2023
1083,Infraestructura básica de agua potable para comunidades marginadas,Secretaría de Bienestar e Inclusión Social,Secretaría de Bienestar e Inclusión Social,10,2023
6361,Fusión de predios,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,10,2023
6861,Tramite de Constancias Expedidas En Secretaria,San Felipe Orizatlán,Ayuntamiento de San Felipe Orizatlán,10,2023
6866,Cambio de nombre,Actopan,Ayuntamiento de Actopan,10,2023
6952,Tramites de Servicios Municipales,San Felipe Orizatlán,Ayuntamiento de San Felipe Orizatlán,10,2023
9069,Acta informativa,Tepeji del Río de Ocampo,Ayuntamiento de Tepeji del Río de Ocampo,10,2023
9085,AUTORIZACION FIERRO QUEMADOR,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,10,2023
9742,Licencia de Construcción.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,10,2023
9434,LICENCIAS PARA ESTABLECIMIENTOS COMERCIALES,La Misión,Ayuntamiento de La Misión,10,2023
9449,Conexiones de drenaje tipo domestico,Tepeapulco,Ayuntamiento de Tepeapulco,10,2023
9796,Mejoramiento a la Vivienda en Zonas de Atención Prioritaria e Indígena,Organismos No Sectorizados,Comisión Estatal para el Desarrollo Sostenible de los Pueblos Indígenas (CEDPI),10,2023
9465,Servicio de Limpieza,Tepeapulco,Ayuntamiento de Tepeapulco,10,2023
9162,Registro de Nacimiento,Mineral del Monte,Ayuntamiento de Mineral del Monte,10,2023
9192,Actas de cambio de motor,Tepeapulco,Ayuntamiento de Tepeapulco,10,2023
9224,Certificación de actuaciones,Tepeapulco,Ayuntamiento de Tepeapulco,10,2023
9225,Recepción y entrega de pensiones,Tepeapulco,Ayuntamiento de Tepeapulco,10,2023
9888,CONSTANCIA DE UNION LIBRE,Apan,Ayuntamiento de Apan,10,2023
9908,Constancia de Ingresos,Zacualtipán,Ayuntamiento de Zacualtipán,10,2023
9638,Constancia de identidad.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,10,2023
9265,Certificado de Valor Fiscal y No Adeudo,Huichapan,Ayuntamiento de Huichapan,10,2023
9060,Traductor del idioma francés,Actopan,Ayuntamiento de Actopan,10,2023
9700,Guías de Transito para la Movilización de Ganado.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,10,2023
9709,Programa de Subsidios para la Vivienda.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,10,2023
3155,Operativo Mochila.,Zimapán,Ayuntamiento de Zimapán,9,2023
5654,CONSTANCIA DE RADICACIÓN,Yahualica,Ayuntamiento de Yahualica,9,2023
8493,Constancia de no registro de matrimonio o Constancia de Soltería,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,9,2023
8430,Pago adeudo impuesto predial,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,9,2023
8864,"Asesoría para la Constitución de Sociedades, Agricultura por Contrato y Comercialización.",Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,9,2023
2544,Permiso para Cortar Madera Muerta (leña) y Traslado para uso domestico,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,9,2023
2556,"Expedicion de Guía de tránsito para la movilización de del maguey, productos y subproductos",Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,9,2023
3092,Expedición de Cartilla de Servicio Militar,Alfajayucan,Ayuntamiento de Alfajayucan,9,2023
8020,Becas para Mujeres Estudiantes de Media Superior y Superior,Nicolás Flores,Ayuntamiento de Nicolás Flores,9,2023
7066,CONSTANCIA DE IDENTIDAD,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,9,2023
2512,Cartilla Militar,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,9,2023
5289,Quejas y Denucias,Tolcayuca,Ayuntamiento de Tolcayuca,9,2023
6261,Permiso de construcción de capilla individual,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
6318,"Constancia de alineamiento, limite exterior y deslinde",San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
6448,Constancia de Radicación,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
6458,Constancia de ingresos económicos,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
7853,Calidad de vida en el adulto mayor.,Xochiatipan,Ayuntamiento de Xochiatipan,9,2023
7864,Registro de Adopción,Tizayuca,Ayuntamiento de Tizayuca,9,2023
7875,Asesorías Jurídicas,Mineral del Monte,Ayuntamiento de Mineral del Monte,9,2023
2285,Calidad de Vida en el Adulto Mayor.,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
2407,Trámite de suspensión de actividades de establecimiento comercial.,Huichapan,Ayuntamiento de Huichapan,9,2023
3578,Instituto Para La Atención De Los Adultos Y Adultas Mayores (INAPAM),Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
5296,Registro de Tatuaje,Tolcayuca,Ayuntamiento de Tolcayuca,9,2023
7318,Placa de Funcionamiento,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
7646,Cursos de Capacitación para el Autoempleo: Dirigidos a Mujeres,Mineral del Chico,Ayuntamiento de Mineral del Chico,9,2023
8213,VISITA GUIADA,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,9,2023
6967,Constancia De Único Causahabiente,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
7769,Dias de transporte y movilización de ganado necesario para mover su ganado,Mineral del Monte,Ayuntamiento de Mineral del Monte,9,2023
8091,Asistencia Alimentaria a Familias en Desamparo,Jaltocán,Ayuntamiento de Jaltocán,9,2023
8114,Constancia de no adeudo de agua potable,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,9,2023
7872,Proyectos productivos,Mineral del Monte,Ayuntamiento de Mineral del Monte,9,2023
7880,Apoyo a Escuelas Públicas,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,9,2023
7891,Ayuda a gastos funerarios,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,9,2023
2308,Apoyo Psicológico,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
2890,Inscripcion de Registro de Nacimiento de Doble Nacionalidad,Cardonal,Ayuntamiento de Cardonal,9,2023
3091,Certificación municipal,Alfajayucan,Ayuntamiento de Alfajayucan,9,2023
3572,Plan invernal,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
3619,Terapia Ocupacional,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
4411,Avalúo catastral /Tramite,Huasca de Ocampo,Ayuntamiento de Huasca de Ocampo,9,2023
3824,Apoyos para gastos  funerarios,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,9,2023
6347,Convenios,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
7845,Desayunos escolares fríos.,Xochiatipan,Ayuntamiento de Xochiatipan,9,2023
7630,Constancia de Hechos,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
2258,Constancia de Residencia.,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
2954,Carta Autorización para que un menor viaje fuera del País.,Tasquillo,Ayuntamiento de Tasquillo,9,2023
2965,Ayudas Sociales (Apoyo con gastos médicos),Tasquillo,Ayuntamiento de Tasquillo,9,2023
3105,Atención jurídica,Alfajayucan,Ayuntamiento de Alfajayucan,9,2023
3646,Consulta de rehabilitación en lenguaje.,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
3581,Constancia De Datos Generales,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
3600,Programa De Atención Al menor Y Adolescentes En Riesgo (PAMAR),Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
4399,Conexión de toma de agua potable/Tramite,Huasca de Ocampo,Ayuntamiento de Huasca de Ocampo,9,2023
4830,Registro de Matrimonio en Oficina,Huazalingo,Ayuntamiento de Huazalingo,9,2023
5913,Permiso para colocación de propaganda.,Xochiatipan,Ayuntamiento de Xochiatipan,9,2023
5922,Refrendo de Fierro Quemador,Huazalingo,Ayuntamiento de Huazalingo,9,2023
5691,Solicitud de Antecedentes de las ventas que han sufrido los predios,Epazoyucan,Ayuntamiento de Epazoyucan,9,2023
7157,Expedición de copia simple por hoja,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,9,2023
7709,Constancia de identidad,Mineral del Monte,Ayuntamiento de Mineral del Monte,9,2023
2894,Acta circunstancial,Cardonal,Ayuntamiento de Cardonal,9,2023
3595,Permisos Para Uso De Espacios Públicos (Auditorios),Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
3603,Programa de trasporte público para personas con discapacidad,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
3635,Inscripción de acta de doble nacionalidad,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
1265,Venta de Copias Certificadas y Copias Simples de diferentes Periódicos Oficiales.,Secretaría de Gobierno,Secretaría de Gobierno,9,2023
4793,Constancia de no Infracción,Xochicoatlán,Ayuntamiento de Xochicoatlán,9,2023
5369,Carta de Recomendación,Huazalingo,Ayuntamiento de Huazalingo,9,2023
5392,Constancia de Radicación,Huazalingo,Ayuntamiento de Huazalingo,9,2023
5958,Cursos de capacitación para el autoempleo.,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,9,2023
5633,Calificativas de Multas,Epazoyucan,Ayuntamiento de Epazoyucan,9,2023
7997,"Platicas a niños, niñas y adolescentes.",Xochiatipan,Ayuntamiento de Xochiatipan,9,2023
2493,Reparación de Luminarias,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,9,2023
2269,Construcción de infraestructura Social Municipal,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
3083,Licencia de construcción,Nicolás Flores,Ayuntamiento de Nicolás Flores,9,2023
4813,DERECHO DE INSTALACIÓN AL SISTEMA DE AGUA POTABLE,Xochicoatlán,Ayuntamiento de Xochicoatlán,9,2023
5920,Constancia de Productor,Huazalingo,Ayuntamiento de Huazalingo,9,2023
8100,Estrategia Estatal de Orientación Alimentaria,Jaltocán,Ayuntamiento de Jaltocán,9,2023
2884,Puestas a disposición,Cardonal,Ayuntamiento de Cardonal,9,2023
2898,Constancia de Dependencia Económica,Cardonal,Ayuntamiento de Cardonal,9,2023
4129,Constancia de Inexistencia de Registro de Nacimiento,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,9,2023
4065,Vivienda rural,Chilcuautla,Ayuntamiento de Chilcuautla,9,2023
8527,Acta Informativa de Dependencia Económica,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,9,2023
1952,REGISTRO DE MATRIMONIO,Apan,Ayuntamiento de Apan,9,2023
2903,Modo honesto de vivir,Cardonal,Ayuntamiento de Cardonal,9,2023
3496,Carta de recomendación,Chapulhuacán,Ayuntamiento de Chapulhuacán,9,2023
3517,Constancia de Dependencia Económica,Chapulhuacán,Ayuntamiento de Chapulhuacán,9,2023
3533,Permiso para apertura de abarrotes,Chapulhuacán,Ayuntamiento de Chapulhuacán,9,2023
3546,Constancia de no afectación de áreas verdes y de no afectación a reservas territoriales,Chapulhuacán,Ayuntamiento de Chapulhuacán,9,2023
3355,REGISTRÓ DE FIERRO QUEMADOR,La Misión,Ayuntamiento de La Misión,9,2023
730,Solicitud de exención de pago de multa por verificación vehicular extemporánea,Secretaría de Medio Ambiente y Recursos Naturales,Secretaría de Medio Ambiente y Recursos Naturales,9,2023
5193,Apertura Licencia de Funcionamiento,Actopan,Ayuntamiento de Actopan,9,2023
6279,Predial,Molango,Ayuntamiento de Molango,9,2023
1914,Expedición de la Pre-cartilla única de servicio militar nacional,Almoloya,Ayuntamiento de Almoloya,9,2023
1942,CAMBIO DE TITULAR DEL SERVICIO CONTRATADO EN LA COMISIÓN DE AGUA POTABLE Y ALCANTARILLADO DE APAN,Apan,Ayuntamiento de Apan,9,2023
1943,CONSTANCIA DE INGRESOS,Apan,Ayuntamiento de Apan,9,2023
6881,Constancia de No Adeudo,Actopan,Ayuntamiento de Actopan,9,2023
7672,Seguridad y vialidad en escuelas con mayor numero de alumnos y con alto indice de transito vehicular,Mineral del Chico,Ayuntamiento de Mineral del Chico,9,2023
8532,Acta informativa de Cesión de Derechos,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,9,2023
9415,Constancias,Tepeapulco,Ayuntamiento de Tepeapulco,9,2023
9755,Lámpara Nueva,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9431,Documento de Transmisión de Ganado en el Estado de Hidalgo,Tepeji del Río de Ocampo,Ayuntamiento de Tepeji del Río de Ocampo,9,2023
9771,Constancia de Uso de Suelo,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9773,Licencia de Uso de Suelo,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9452,Contratos nuevos de agua potable comercial,Tepeapulco,Ayuntamiento de Tepeapulco,9,2023
9150,Perpetuidades,Tepeji del Río de Ocampo,Ayuntamiento de Tepeji del Río de Ocampo,9,2023
8931,"Cobro por derecho de uso de piso en plazas, tianguis y espacios públicos",Tlaxcoapan,Ayuntamiento de Tlaxcoapan,9,2023
8937,Activación física,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,9,2023
9832,Pago anual,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión de Agua y Alcantarillado de Sistemas Intermunicipales,9,2023
9835,Visto Bueno para Funcionamiento de local comercial.,Tlahuelilpan,Ayuntamiento de Tlahuelilpan,9,2023
9843,Asistencia alimentaria a sujetos vulnerables (adultos/as mayores),Mineral del Chico,Ayuntamiento de Mineral del Chico,9,2023
9520,Contratación del servicio de agua potable y alcantarillado para uso domestico,Huichapan,Ayuntamiento de Huichapan,9,2023
9191,Actas de extravió de hologramas,Tepeapulco,Ayuntamiento de Tepeapulco,9,2023
9529,Refrendo de Placa Comercial,Huichapan,Ayuntamiento de Huichapan,9,2023
9220,Certificaciones de Carta Poder,Tepeapulco,Ayuntamiento de Tepeapulco,9,2023
9222,Constancias de pensiones,Tepeapulco,Ayuntamiento de Tepeapulco,9,2023
9907,Solicitud de factibilidad en cuestión de residuos sólidos urbanos y residuos sólidos urbanos peligrosos,Tepeapulco,Ayuntamiento de Tepeapulco,9,2023
9621,"Taller Prematrimonial ""Matrimonio Consciente""",Pachuca de Soto,Ayuntamiento de Pachuca de Soto - DIF,9,2023
9633,Atención de llamadas al ciudadano.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9915,SOLICITUDES DE ACCESO A LA INFORMACIÓN PÚBLICA,Zacualtipán,Ayuntamiento de Zacualtipán,9,2023
9650,Carta de Recomendación,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9267,Copia Simple de Pago Predial,Huichapan,Ayuntamiento de Huichapan,9,2023
9654,Proyectos Productivos.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9673,Atención por Hecho y Posiblemente Constitutivos de Delitos.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9690,Licencia de Funcionamiento Comercial.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9694,Prevención del Delito.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9718,Asesoría Jurídica a Mujeres.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9723,Avaluó Catastral.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
9736,Alta de Predios en el Padrón Catastral.,Omitlán de Juárez,Ayuntamiento de Omitlán de Juárez,9,2023
3870,Actualización de Avalúo catastral,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,8,2023
5643,Notificaciones,Epazoyucan,Ayuntamiento de Epazoyucan,8,2023
8212,CURSO DE VERANO,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,8,2023
8501,"CURP-Altas, cambios simples, cambios especiales",Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,8,2023
8567,Feria de la Proveeduría Turística.,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,8,2023
8861,Asesoría para el trámite de la membresía GS1 para la trazabilidad en productos agropecuarios,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,8,2023
8146,Actas Certificadas,Tolcayuca,Ayuntamiento de Tolcayuca,8,2023
8174,Vo.Bo. En Materia de Protección Civil,Tolcayuca,Ayuntamiento de Tolcayuca,8,2023
2530,Expedición de formato Único de Transmisión de Propiedad de Ganado,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,8,2023
2529,Inscripción de un Divorcio por Orden Judicial,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,8,2023
2536,CONSTANCIA DE DOMICILIO,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,8,2023
8207,Registro De Fierros Para Marcar Ganado,Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,8,2023
4056,Cloracion,Chilcuautla,Ayuntamiento de Chilcuautla,8,2023
5557,Venta de Agua de Vales para Pipa,Tolcayuca,Ayuntamiento de Tolcayuca,8,2023
7263,Registro de figura de herraje de ganado,Epazoyucan,Ayuntamiento de Epazoyucan,8,2023
7870,Desayuno Frío,Mineral del Monte,Ayuntamiento de Mineral del Monte,8,2023
2295,"Rehabilitación, física, ocupacional, psicológica y de lenguaje.",Zacualtipán,Ayuntamiento de Zacualtipán,8,2023
2402,Taller Baile Moderno infantil,Huichapan,Ayuntamiento de Huichapan,8,2023
6412,Placas de Funcionamiento Comerciales,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,8,2023
7952,"Capacitaciones, Cursos y Talleres",Tasquillo,Ayuntamiento de Tasquillo,8,2023
7956,"Apoyo y resguardo en jaripeos y carreras de caballos, resguardo del apoyo del adulto mayor, entre otros.",Tasquillo,Ayuntamiento de Tasquillo,8,2023
7764,Búsqueda de Archivo,Mineral del Monte,Ayuntamiento de Mineral del Monte,8,2023
8050,Registro de fierro de Herrar,Jaltocán,Ayuntamiento de Jaltocán,8,2023
8486,Certificaciones (copia fiel del libro de registro civil municipal),Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,8,2023
8086,Inscripción de Acta de Reconocimiento,Tizayuca,Ayuntamiento de Tizayuca,8,2023
3994,Constancia de artesanos,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,8,2023
4018,Trabajos de nivelación y cuneteo,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,8,2023
4109,Carta de recomendación,Chilcuautla,Ayuntamiento de Chilcuautla,8,2023
4898,Constancia de Identidad,Huazalingo,Ayuntamiento de Huazalingo,8,2023
1408,Sistemas Producto Agrícolas,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,8,2023
3851,Reporte de Siniestros en Cultivos Básicos,Ixmiquilpan,Ayuntamiento de Ixmiquilpan,8,2023
6621,Expedición de CURP,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,8,2023
7990,Jornadas Gerontológicas,Mineral del Monte,Ayuntamiento de Mineral del Monte,8,2023
7999,Por un adecuado manejo de tu salud sexual y reproductivo.,Xochiatipan,Ayuntamiento de Xochiatipan,8,2023
8042,Constancia de Ingresos Económicos,Jaltocán,Ayuntamiento de Jaltocán,8,2023
8052,Cancelación de registro de fierro de herrar,Jaltocán,Ayuntamiento de Jaltocán,8,2023
7854,Anotación de actas ordenadas por autoridad judicial e inscripción de sentencias,Tasquillo,Ayuntamiento de Tasquillo,8,2023
7878,Convenios de pensión alimenticia,Mineral del Monte,Ayuntamiento de Mineral del Monte,8,2023
2275,"Registro de Nacimiento, (Menores de 6 Meses).",Zacualtipán,Ayuntamiento de Zacualtipán,8,2023
2920,Alta de predios ocultos,Cardonal,Ayuntamiento de Cardonal,8,2023
2298,Códice joven,Zacualtipán,Ayuntamiento de Zacualtipán,8,2023
2325,"Servicio ""TURIBUS"" Recorrido Histórico Huichapan",Huichapan,Ayuntamiento de Huichapan,8,2023
3551,Registro extemporáneo en menores de edad,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
3647,Estimulación Temprana,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
3599,Jornada de labio y paladar hendido.,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
4118,Constancia de diferentes Comités.,Chilcuautla,Ayuntamiento de Chilcuautla,8,2023
4838,Canje de tarjeta Predial,Huazalingo,Ayuntamiento de Huazalingo,8,2023
5382,Constancia de Antecedentes Administrativos,Huazalingo,Ayuntamiento de Huazalingo,8,2023
5992,Apoyo de Protección Civil Para Eventos Sociales.,Xochiatipan,Ayuntamiento de Xochiatipan,8,2023
5612,Programa de Autoempleo,Epazoyucan,Ayuntamiento de Epazoyucan,8,2023
6615,Registro de divorcio,San Bartolo Tutotepec,Ayuntamiento de San Bartolo Tutotepec,8,2023
7896,Traslados de Urgencias,Tasquillo,Ayuntamiento de Tasquillo,8,2023
8237,Solicitud de Datos Personales (derechos arco),Nopala de Villagrán,Ayuntamiento de Nopala de Villagrán,8,2023
7975,Jornadas Medicas Cirugías de Cataratas y Hernia.,Xochiatipan,Ayuntamiento de Xochiatipan,8,2023
7770,Constancia del productor,Mineral del Monte,Ayuntamiento de Mineral del Monte,8,2023
8062,Expedición de Actas,Jaltocán,Ayuntamiento de Jaltocán,8,2023
7617,Depósito de pensión alimenticia.,Zacualtipán,Ayuntamiento de Zacualtipán,8,2023
7625,Permiso de Traslado,Zacualtipán,Ayuntamiento de Zacualtipán,8,2023
2980,Programa Escuela para Padres,Tasquillo,Ayuntamiento de Tasquillo,8,2023
3638,Barrido Manual,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
3643,Constancia De Buena Conducta,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
3575,Permiso De Demolición,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
3360,Expedición de Copia Certificada,Mineral del Chico,Ayuntamiento de Mineral del Chico,8,2023
5079,Asesorías para movilidad internacional.,Tepeapulco,Ayuntamiento de Tepeapulco,8,2023
5378,Constancia de Datos generales,Huazalingo,Ayuntamiento de Huazalingo,8,2023
5923,Expedición de Guías REEMO,Huazalingo,Ayuntamiento de Huazalingo,8,2023
5650,Venta y Donación de árboles,Epazoyucan,Ayuntamiento de Epazoyucan,8,2023
6904,Rehabilitación Psicologica,Huazalingo,Ayuntamiento de Huazalingo,8,2023
7882,Recepción de denuncias en materia familiar.,San Agustín Tlaxiaca,Ayuntamiento de San Agustín Tlaxiaca,8,2023
8697,"Cambio de actividad económica, de placa o licencia de funcionamiento (bajo, mediano y alto riesgo)",Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,8,2023
2940,"Aseo en las diferentes áreas en General y mantenimiento del parque, poda de árboles",Cardonal,Ayuntamiento de Cardonal,8,2023
3311,Acta de posesión de lancha.,Zimapán,Ayuntamiento de Zimapán,8,2023
7634,Constancia de Origen,Zacualtipán,Ayuntamiento de Zacualtipán,8,2023
8071,Licencia Comercial,Jaltocán,Ayuntamiento de Jaltocán,8,2023
8528,Acta Informativa para acreditar unión libre,Tulancingo de Bravo,Ayuntamiento de Tulancingo de Bravo,8,2023
1993,REGISTRO DE DEFUNCION,Apan,Ayuntamiento de Apan,8,2023
2020,CONSTANCIA ADMINISTRATIVA,Apan,Ayuntamiento de Apan,8,2023
2339,Gestión de Apoyos con Dependencias Federales,Huichapan,Ayuntamiento de Huichapan,8,2023
3401,"Guía de Tránsito para la movilización de Ganado, productos y subproductos pecuarios",Mineral del Chico,Ayuntamiento de Mineral del Chico,8,2023
3514,Constancia de Ingresos Economicos,Chapulhuacán,Ayuntamiento de Chapulhuacán,8,2023
3519,Constancia de Identidad,Chapulhuacán,Ayuntamiento de Chapulhuacán,8,2023
3613,Constancia de Identidad,Jacala de Ledezma,Ayuntamiento de Jacala de Ledezma,8,2023
3395,Solicitud de atención psicológica,Mineral del Chico,Ayuntamiento de Mineral del Chico,8,2023
4556,Expedición de Cartilla del Servicio Militar,Atitalaquia,Ayuntamiento de Atitalaquia,8,2023
5110,Cambio de usuario (agua potable),Tepeapulco,Ayuntamiento de Tepeapulco,8,2023
5225,Inscripción y registro de niños menores de 6 meses,Actopan,Ayuntamiento de Actopan,8,2023
5995,Apoyo de Protección Civil para quitar Incidentes.,Xochiatipan,Ayuntamiento de Xochiatipan,8,2023
6108,Citatorios ordenados por otro conciliador.,San Agustín Metzquititlán,Ayuntamiento de San Agustín Metzquititlán,8,2023
6864,Contrato de agua y drenaje para uso comercial,Actopan,Ayuntamiento de Actopan,8,2023
7994,Espacio 2 para captura.,Xochiatipan,Ayuntamiento de Xochiatipan,8,2023
8839,Formando competencias para la convivencia armónica y democrática en las aulas,Zimapán,Ayuntamiento de Zimapán,8,2023
